"","av","Time","SharePerHour","diaryday"
"361","Nonsocial leisure",9,0.1,"1"
"362","Nonsocial leisure",9,0.69,"2"
"363","Nonsocial leisure",9,1.31,"3"
"364","Nonsocial leisure",9,0.2,"4"
"365","Paid work",9,0.07,"1"
"366","Paid work",9,0.15,"2"
"367","Paid work",9,0.05,"3"
"368","Personal care",9,80.49,"1"
"369","Personal care",9,58.27,"2"
"370","Personal care",9,51.23,"3"
"371","Personal care",9,69.7,"4"
"372","Religion and volunteering",9,0.05,"1"
"373","Religion and volunteering",9,0.05,"2"
"374","Religion and volunteering",9,0.05,"3"
"375","Religion and volunteering",9,0.07,"4"
"376","School / Study",9,0.02,"3"
"377","Social leisure",9,0.2,"1"
"378","Social leisure",9,0.55,"2"
"379","Social leisure",9,0.99,"3"
"380","Social leisure",9,0.3,"4"
"381","Sport exercise",9,0.05,"2"
"382","Sport exercise",9,0.17,"3"
"383","Sport exercise",9,0.02,"4"
"384","TV/radio",9,0.3,"1"
"385","TV/radio",9,0.99,"2"
"386","TV/radio",9,1.07,"3"
"387","TV/radio",9,0.52,"4"
"388","Cultural leisure",10,0.05,"1"
"389","Cultural leisure",10,0.32,"2"
"390","Cultural leisure",10,0.12,"3"
"391","Cultural leisure",10,0.17,"4"
"392","Domestic work",10,0.02,"1"
"393","Domestic work",10,0.15,"2"
"394","Domestic work",10,0.22,"3"
"395","Domestic work",10,0.05,"4"
"396","Eat drink",10,0.22,"1"
"397","Eat drink",10,0.69,"2"
"398","Eat drink",10,0.64,"3"
"399","Eat drink",10,0.37,"4"
"400","Miscellaneous",10,18.5,"1"
"401","Miscellaneous",10,38.09,"2"
"402","Miscellaneous",10,44.11,"3"
"403","Miscellaneous",10,28.59,"4"
"404","Nonsocial leisure",10,0.1,"1"
"405","Nonsocial leisure",10,0.69,"2"
"406","Nonsocial leisure",10,1.31,"3"
"407","Nonsocial leisure",10,0.2,"4"
"408","Paid work",10,0.07,"1"
"409","Paid work",10,0.15,"2"
"410","Paid work",10,0.05,"3"
"411","Personal care",10,80.49,"1"
"412","Personal care",10,58.27,"2"
"413","Personal care",10,51.23,"3"
"414","Personal care",10,69.7,"4"
"415","Religion and volunteering",10,0.05,"1"
"416","Religion and volunteering",10,0.05,"2"
"417","Religion and volunteering",10,0.05,"3"
"418","Religion and volunteering",10,0.07,"4"
"419","School / Study",10,0.02,"3"
"420","Social leisure",10,0.2,"1"
"421","Social leisure",10,0.55,"2"
"422","Social leisure",10,0.99,"3"
"423","Social leisure",10,0.3,"4"
"424","Sport exercise",10,0.05,"2"
"425","Sport exercise",10,0.17,"3"
"426","Sport exercise",10,0.02,"4"
"427","TV/radio",10,0.3,"1"
"428","TV/radio",10,0.99,"2"
"429","TV/radio",10,1.07,"3"
"430","TV/radio",10,0.52,"4"
"431","Cultural leisure",11,0.07,"1"
"432","Cultural leisure",11,0.37,"2"
"433","Cultural leisure",11,0.15,"3"
"434","Cultural leisure",11,0.2,"4"
"435","Domestic work",11,0.02,"1"
"436","Domestic work",11,0.12,"2"
"437","Domestic work",11,0.17,"3"
"438","Domestic work",11,0.07,"4"
"439","Eat drink",11,0.22,"1"
"440","Eat drink",11,0.82,"2"
"441","Eat drink",11,0.64,"3"
"442","Eat drink",11,0.35,"4"
"443","Miscellaneous",11,18.03,"1"
"444","Miscellaneous",11,36.6,"2"
"445","Miscellaneous",11,43.02,"3"
"446","Miscellaneous",11,27.72,"4"
"447","Nonsocial leisure",11,0.12,"1"
"448","Nonsocial leisure",11,0.69,"2"
"449","Nonsocial leisure",11,1.12,"3"
"450","Nonsocial leisure",11,0.32,"4"
"451","Paid work",11,0.07,"1"
"452","Paid work",11,0.15,"2"
"453","Paid work",11,0.05,"3"
"454","Paid work",11,0.02,"4"
"455","Personal care",11,80.86,"1"
"456","Personal care",11,59.34,"2"
"457","Personal care",11,52.29,"3"
"458","Personal care",11,70.37,"4"
"459","Religion and volunteering",11,0.05,"1"
"460","Religion and volunteering",11,0.1,"2"
"461","Religion and volunteering",11,0.05,"3"
"462","Religion and volunteering",11,0.07,"4"
"463","School / Study",11,0.02,"3"
"464","Social leisure",11,0.2,"1"
"465","Social leisure",11,0.69,"2"
"466","Social leisure",11,1.14,"3"
"467","Social leisure",11,0.35,"4"
"468","Sport exercise",11,0.05,"2"
"469","Sport exercise",11,0.1,"3"
"470","TV/radio",11,0.35,"1"
"471","TV/radio",11,1.07,"2"
"472","TV/radio",11,1.24,"3"
"473","TV/radio",11,0.52,"4"
"474","Cultural leisure",12,0.07,"1"
"475","Cultural leisure",12,0.37,"2"
"476","Cultural leisure",12,0.15,"3"
"477","Cultural leisure",12,0.2,"4"
"478","Domestic work",12,0.02,"1"
"479","Domestic work",12,0.12,"2"
"480","Domestic work",12,0.17,"3"
"481","Domestic work",12,0.07,"4"
"482","Eat drink",12,0.22,"1"
"483","Eat drink",12,0.82,"2"
"484","Eat drink",12,0.67,"3"
"485","Eat drink",12,0.35,"4"
"486","Miscellaneous",12,18.03,"1"
"487","Miscellaneous",12,36.55,"2"
"488","Miscellaneous",12,43,"3"
"489","Miscellaneous",12,27.72,"4"
"490","Nonsocial leisure",12,0.12,"1"
"491","Nonsocial leisure",12,0.69,"2"
"492","Nonsocial leisure",12,1.12,"3"
"493","Nonsocial leisure",12,0.32,"4"
"494","Paid work",12,0.07,"1"
"495","Paid work",12,0.15,"2"
"496","Paid work",12,0.05,"3"
"497","Paid work",12,0.02,"4"
"498","Personal care",12,80.86,"1"
"499","Personal care",12,59.41,"2"
"500","Personal care",12,52.29,"3"
"501","Personal care",12,70.37,"4"
"502","Religion and volunteering",12,0.05,"1"
"503","Religion and volunteering",12,0.1,"2"
"504","Religion and volunteering",12,0.05,"3"
"505","Religion and volunteering",12,0.07,"4"
"506","School / Study",12,0.02,"3"
"507","Social leisure",12,0.2,"1"
"508","Social leisure",12,0.67,"2"
"509","Social leisure",12,1.14,"3"
"510","Social leisure",12,0.35,"4"
"511","Sport exercise",12,0.05,"2"
"512","Sport exercise",12,0.1,"3"
"513","TV/radio",12,0.35,"1"
"514","TV/radio",12,1.07,"2"
"515","TV/radio",12,1.24,"3"
"516","TV/radio",12,0.52,"4"
"517","Cultural leisure",13,0.07,"1"
"518","Cultural leisure",13,0.37,"2"
"519","Cultural leisure",13,0.15,"3"
"520","Cultural leisure",13,0.2,"4"
"521","Domestic work",13,0.02,"1"
"522","Domestic work",13,0.12,"2"
"523","Domestic work",13,0.17,"3"
"524","Domestic work",13,0.07,"4"
"525","Eat drink",13,0.22,"1"
"526","Eat drink",13,0.82,"2"
"527","Eat drink",13,0.67,"3"
"528","Eat drink",13,0.35,"4"
"529","Miscellaneous",13,18,"1"
"530","Miscellaneous",13,36.52,"2"
"531","Miscellaneous",13,42.97,"3"
"532","Miscellaneous",13,27.7,"4"
"533","Nonsocial leisure",13,0.12,"1"
"534","Nonsocial leisure",13,0.69,"2"
"535","Nonsocial leisure",13,1.12,"3"
"536","Nonsocial leisure",13,0.32,"4"
"537","Paid work",13,0.07,"1"
"538","Paid work",13,0.15,"2"
"539","Paid work",13,0.05,"3"
"540","Paid work",13,0.02,"4"
"541","Personal care",13,80.88,"1"
"542","Personal care",13,59.41,"2"
"543","Personal care",13,52.29,"3"
"544","Personal care",13,70.39,"4"
"545","Religion and volunteering",13,0.05,"1"
"546","Religion and volunteering",13,0.1,"2"
"547","Religion and volunteering",13,0.05,"3"
"548","Religion and volunteering",13,0.07,"4"
"549","School / Study",13,0.02,"3"
"550","Social leisure",13,0.2,"1"
"551","Social leisure",13,0.67,"2"
"552","Social leisure",13,1.14,"3"
"553","Social leisure",13,0.35,"4"
"554","Sport exercise",13,0.05,"2"
"555","Sport exercise",13,0.12,"3"
"556","TV/radio",13,0.35,"1"
"557","TV/radio",13,1.09,"2"
"558","TV/radio",13,1.24,"3"
"559","TV/radio",13,0.52,"4"
"560","Cultural leisure",14,0.07,"1"
"561","Cultural leisure",14,0.37,"2"
"562","Cultural leisure",14,0.15,"3"
"563","Cultural leisure",14,0.2,"4"
"564","Domestic work",14,0.02,"1"
"565","Domestic work",14,0.12,"2"
"566","Domestic work",14,0.17,"3"
"567","Domestic work",14,0.05,"4"
"568","Eat drink",14,0.22,"1"
"569","Eat drink",14,0.82,"2"
"570","Eat drink",14,0.67,"3"
"571","Eat drink",14,0.37,"4"
"572","Miscellaneous",14,18,"1"
"573","Miscellaneous",14,36.52,"2"
"574","Miscellaneous",14,42.97,"3"
"575","Miscellaneous",14,27.7,"4"
"576","Nonsocial leisure",14,0.12,"1"
"577","Nonsocial leisure",14,0.69,"2"
"578","Nonsocial leisure",14,1.12,"3"
"579","Nonsocial leisure",14,0.32,"4"
"580","Paid work",14,0.07,"1"
"581","Paid work",14,0.15,"2"
"582","Paid work",14,0.05,"3"
"583","Paid work",14,0.02,"4"
"584","Personal care",14,80.88,"1"
"585","Personal care",14,59.41,"2"
"586","Personal care",14,52.29,"3"
"587","Personal care",14,70.37,"4"
"588","Religion and volunteering",14,0.05,"1"
"589","Religion and volunteering",14,0.1,"2"
"590","Religion and volunteering",14,0.05,"3"
"591","Religion and volunteering",14,0.07,"4"
"592","School / Study",14,0.02,"3"
"593","Social leisure",14,0.2,"1"
"594","Social leisure",14,0.67,"2"
"595","Social leisure",14,1.14,"3"
"596","Social leisure",14,0.35,"4"
"597","Sport exercise",14,0.05,"2"
"598","Sport exercise",14,0.12,"3"
"599","TV/radio",14,0.35,"1"
"600","TV/radio",14,1.09,"2"
"601","TV/radio",14,1.24,"3"
"602","TV/radio",14,0.55,"4"
"603","Cultural leisure",15,0.07,"1"
"604","Cultural leisure",15,0.37,"2"
"605","Cultural leisure",15,0.15,"3"
"606","Cultural leisure",15,0.2,"4"
"607","Domestic work",15,0.02,"1"
"608","Domestic work",15,0.12,"2"
"609","Domestic work",15,0.17,"3"
"610","Domestic work",15,0.05,"4"
"611","Eat drink",15,0.22,"1"
"612","Eat drink",15,0.82,"2"
"613","Eat drink",15,0.67,"3"
"614","Eat drink",15,0.37,"4"
"615","Miscellaneous",15,18,"1"
"616","Miscellaneous",15,36.5,"2"
"617","Miscellaneous",15,42.92,"3"
"618","Miscellaneous",15,27.67,"4"
"619","Nonsocial leisure",15,0.12,"1"
"620","Nonsocial leisure",15,0.69,"2"
"621","Nonsocial leisure",15,1.12,"3"
"622","Nonsocial leisure",15,0.32,"4"
"623","Paid work",15,0.07,"1"
"624","Paid work",15,0.15,"2"
"625","Paid work",15,0.05,"3"
"626","Paid work",15,0.02,"4"
"627","Personal care",15,80.88,"1"
"628","Personal care",15,59.43,"2"
"629","Personal care",15,52.34,"3"
"630","Personal care",15,70.39,"4"
"631","Religion and volunteering",15,0.05,"1"
"632","Religion and volunteering",15,0.1,"2"
"633","Religion and volunteering",15,0.05,"3"
"634","Religion and volunteering",15,0.07,"4"
"635","School / Study",15,0.02,"3"
"636","Social leisure",15,0.2,"1"
"637","Social leisure",15,0.67,"2"
"638","Social leisure",15,1.14,"3"
"639","Social leisure",15,0.35,"4"
"640","Sport exercise",15,0.05,"2"
"641","Sport exercise",15,0.12,"3"
"642","TV/radio",15,0.35,"1"
"643","TV/radio",15,1.09,"2"
"644","TV/radio",15,1.24,"3"
"645","TV/radio",15,0.55,"4"
"646","Cultural leisure",16,0.07,"1"
"647","Cultural leisure",16,0.42,"2"
"648","Cultural leisure",16,0.17,"3"
"649","Cultural leisure",16,0.2,"4"
"650","Domestic work",16,0.02,"1"
"651","Domestic work",16,0.15,"2"
"652","Domestic work",16,0.17,"3"
"653","Domestic work",16,0.1,"4"
"654","Eat drink",16,0.22,"1"
"655","Eat drink",16,0.82,"2"
"656","Eat drink",16,0.74,"3"
"657","Eat drink",16,0.35,"4"
"658","Miscellaneous",16,17.58,"1"
"659","Miscellaneous",16,34.49,"2"
"660","Miscellaneous",16,40.52,"3"
"661","Miscellaneous",16,26.43,"4"
"662","Nonsocial leisure",16,0.17,"1"
"663","Nonsocial leisure",16,0.74,"2"
"664","Nonsocial leisure",16,1.09,"3"
"665","Nonsocial leisure",16,0.25,"4"
"666","Paid work",16,0.05,"1"
"667","Paid work",16,0.07,"2"
"668","Paid work",16,0.07,"3"
"669","Personal care",16,81.21,"1"
"670","Personal care",16,61.2,"2"
"671","Personal care",16,54.4,"3"
"672","Personal care",16,71.56,"4"
"673","Religion and volunteering",16,0.05,"1"
"674","Religion and volunteering",16,0.12,"2"
"675","Religion and volunteering",16,0.05,"3"
"676","Religion and volunteering",16,0.07,"4"
"677","School / Study",16,0.02,"3"
"678","Social leisure",16,0.25,"1"
"679","Social leisure",16,0.82,"2"
"680","Social leisure",16,1.24,"3"
"681","Social leisure",16,0.37,"4"
"682","Sport exercise",16,0.02,"2"
"683","Sport exercise",16,0.12,"3"
"684","TV/radio",16,0.37,"1"
"685","TV/radio",16,1.14,"2"
"686","TV/radio",16,1.39,"3"
"687","TV/radio",16,0.67,"4"
"688","Cultural leisure",17,0.07,"1"
"689","Cultural leisure",17,0.42,"2"
"690","Cultural leisure",17,0.17,"3"
"691","Cultural leisure",17,0.2,"4"
"692","Domestic work",17,0.02,"1"
"693","Domestic work",17,0.15,"2"
"694","Domestic work",17,0.17,"3"
"695","Domestic work",17,0.1,"4"
"696","Eat drink",17,0.22,"1"
"697","Eat drink",17,0.82,"2"
"698","Eat drink",17,0.74,"3"
"699","Eat drink",17,0.35,"4"
"700","Miscellaneous",17,17.58,"1"
